Name,Kingdom,Phylum,Subphylum,Class,Order,Suborder,Family,Genus,Species,Population size,Life span,Top speed,Weight,Height,Length,Attributes,Distribution,Habits,Diet,Mating_Habits,Population
American Bison,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,,Bovidae,Bison,Bison bison,"11,248-13,12",15-40 yrs,35 km/h,318-1000 kg,152-186 cm,2-3.5 m,"Diurnal,Herbivore,Graminivore,Terrestrial,Cursorial,Precocial,Grazing,Nomadic,Congregatory,Viviparous,Polygyny,Dangerous,Social,Herding,Dominance hierarchy,Migrating,starts with,Lucky Animals,U.S. States Animals,Canada Province Animals,Dangerous Animals","{'Geography': {'Continents': 'North America', 'Countries': 'Canada, United States', 'Regions': 'Alberta, Ontario, Manitoba, British Columbia, Saskatchewan, Northwest Territories', 'Biogeographical realms': 'Nearctic', 'Wwf biomes': 'Taiga, Temperate grasslands'}, 'Biome': ['Wetlands ', 'Grassland', 'Shrubland', 'Savanna', 'Riparian', 'Anthropogenic biome', 'Agricultural', 'Mountains'], 'Climate': ['Temperate', 'Cold']}","{'Group name': 'gang, herd, obstinacy', 'Lifestyle': 'Terrestrial, Cursorial, Precocial, Grazing, Nomadic, Congregatory, Viviparous', 'Seasonal behavior': 'Migrating'}","Herbivore,,Graminivore","{'Mating behavior': 'Polygyny', 'Reproduction season': 'June-September', 'Pregnancy duration': '285 days', 'Baby carrying': '1 calf', 'Independent age': '1 year', 'Female name': 'cow', 'Male name': 'bull', 'Baby name': 'calf'}","{'Population trend': 'Stable', 'Population status': 'Near Threatened (NT)'}"
Bonobo,Animalia,Chordata,Vertebrata,Mammalia,Primates,Haplorhini,Hominidae,Pan,Pan paniscus,"29,5-50 Thou",35-50 yrs,40 km/h,30-60 kg,115 cm,70-83 cm,"Diurnal,Frugivore,Herbivore,Terrestrial,Arboreal,Zoochory,Polygynandry,Social,Dominance hierarchy,Not a migrant,starts with","{'Geography': {'Continents': 'Africa', 'Subcontinents': 'Sub-Saharan Africa', 'Countries': 'DR Congo', 'Biogeographical realms': 'Afrotropical', 'Wwf biomes': 'Tropical moist forests'}, 'Biome': ['Forest', 'Rainforest'], 'Climate': ['Tropical']}","{'Group name': 'troop', 'Lifestyle': 'Terrestrial, Arboreal, Zoochory,', 'Seasonal behavior': 'Not a migrant'}","Frugivore,,Herbivore","{'Mating behavior': 'Polygynandry', 'Reproduction season': 'Year-round', 'Pregnancy duration': '8 months', 'Baby carrying': '1 infant', 'Independent age': '4 years', 'Female name': 'female', 'Male name': 'male', 'Baby name': 'infant'}","{'Population trend': 'Decreasing', 'Population status': 'Endangered (EN)'}"
Honey Badger,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Mustelidae,Mellivora,Mellivora capensis,Unknown,7-26 yrs,30 km/h,5-16 kg,23-28 cm,77 cm,"Nocturnal,Carnivore,Terrestrial,Altricial,Burrowing,Viviparous,Predator,Polygyny,Solitary,Dominance hierarchy,Not a migrant,starts with,Black And White Animals","{'Geography': {'Continents': 'Africa, Asia', 'Subcontinents': 'North Africa, Sub-Saharan Africa, South Asia, Western Asia, Central Asia', 'Countries': 'Algeria, Angola, Benin, Botswana, Burkina Faso, Burundi, Cameroon, Central African Republic, Chad, Congo,', 'Biogeographical realms': ""DR Congo, Cote d'Ivoire, Djibouti, Equatorial Guinea, Eritrea, Ethiopia,  Gabon, Gambia, Ghana, Guinea, Guinea-Bissau, India, Iran, Iraq, Israel, Jordan, Kazakhstan, Kenya, Kuwait, Lebanon, Liberia, Malawi, Mali, Mauritania, Morocco, Mozambique, Namibia, Nepal, Niger, Nigeria, Oman, Pakistan, Qatar, Rwanda, Saudi Arabia, Senegal, Sierra Leone, Somalia, South Africa, Sudan, Swaziland,  Tanzania, Togo, Turkmenistan, Uganda, United Arab Emirates, Uzbekistan, Western Sahara, Yemen, Zambia, Zimbabwe"", 'Wwf biomes': 'Palearctic, Indomalayan, Afrotropical'}, 'Biome': ['Forest', 'Shrubland', 'Savanna', 'Montane forest', 'Woodland'], 'Climate': ['Tropical', 'Arid', 'Temperate']}","{'Group name': 'cete, colony, set, company', 'Lifestyle': 'Terrestrial, Altricial, Burrowing, Viviparous, Predator', 'Seasonal behavior': 'Not a migrant'}",Carnivore,"{'Mating behavior': 'Polygyny', 'Reproduction season': 'year-round, peak in September-December', 'Pregnancy duration': '50-70 days', 'Baby carrying': '1 kit', 'Independent age': '1-2 years', 'Female name': 'sow', 'Male name': 'boar', 'Baby name': 'kit, cub'}","{'Population trend': 'Decreasing', 'Population status': 'Least concern (LC)'}"
Goat,Wild Goat,,Animalia,Chordata,Vertebrata,,Mammalia,Bovidae,Caprinae,,,,,,,starts with,"{'Geography': {}, 'Biome': [], 'Climate': []}",{'Lifestyle': ''},,{},{}
Donkey,African Wild Ass,,Animalia,Chordata,Vertebrata,,Mammalia,Perissodactyla,Equidae,Equus,Equus africanus asinus,41 Mln,12-50 yrs,24 km/h,,"Diurnal,Herbivore,Terrestrial,Precocial,Grazing,Polygyny,Social,Not a migrant,starts with","{'Geography': {}, 'Biome': [], 'Climate': ['Tropical', 'Arid', 'Temperate', 'Cold']}","{'Group name': 'herd, coffle, drove, pace', 'Lifestyle': 'Terrestrial, Precocial, Grazing,', 'Seasonal behavior': 'Not a migrant'}",Herbivore,"{'Mating behavior': 'Polygyny', 'Reproduction season': 'Year-round', 'Pregnancy duration': '11-14 months', 'Baby carrying': '1 foal', 'Independent age': '5 months', 'Female name': 'jenny, jennet', 'Male name': 'jack, jackass', 'Baby name': 'foal, colt'}",{'Population status': 'Not evaluated (NE)'}
Bengal tiger,Tiger,,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Feliformia,Felidae,,,,,,,"Terrestrial,starts with","{'Geography': {'Wwf biomes': 'Mangrove'}, 'Biome': [], 'Climate': []}","{'Lifestyle': 'Terrestrial,'}",,{},"{'Population trend': 'Decreasing', 'Population status': 'Endangered (EN)'}"
Llama,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,,Camelidae,Lama,Lama glama,,15-25 yrs,45 km/h,130-200 kg,1.7-1.8 m,,"Diurnal,Herbivore,Folivore,Terrestrial,Cursorial,Territorial,Viviparous,Precocial,Browsing,Polygyny,Dominance hierarchy,Not a migrant,starts with","{'Geography': {'Biogeographical realms': 'Australasian, Nearctic, Neotropical, Palearctic'}, 'Biome': ['Agricultural', 'Anthropogenic biome', 'Mountains'], 'Climate': ['Arid', 'Temperate']}","{'Group name': 'herd', 'Lifestyle': 'Terrestrial, Cursorial, Territorial, Viviparous, Precocial, Browsing', 'Seasonal behavior': 'Not a migrant'}","Herbivore,,Folivore","{'Mating behavior': 'Polygyny', 'Reproduction season': 'late summer-early fall', 'Pregnancy duration': '350-360 days', 'Baby carrying': '1 cria', 'Independent age': '1 year', 'Baby name': 'cria'}",{'Population status': 'Not evaluated (NE)'}
Wild Boar,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,,Suidae,Sus,Sus scrofa,Unknown,2-27 yrs,48 km/h,80-175 kg,55-100 cm,153-240 cm,"Nocturnal,Crepuscular,Omnivore,Terrestrial,Precocial,Cosmopolitan,Polygyny,Social,Not a migrant,Wild,starts with","{'Geography': {'Continents': 'Asia, Europe, Africa, North America, South America, Oceania', 'Subcontinents': 'South Asia, North Africa, Western Asia, Southeast Asia, East Asia, Central Asia, Caribbean Islands, Sub-Saharan Africa', 'Countries': 'Albania, Algeria, Andorra, Armenia, Austria, Azerbaijan, Bangladesh, Belarus, Belgium, Bhutan,', 'Introduced countries': 'Bosnia and Herzegovina, Bulgaria, Cambodia, China, Croatia, Cyprus, Czech Republic, Estonia, Finland, France,  Georgia, Germany, Greece, Hong Kong, Hungary,  India, Indonesia, Iran, Iraq, Israel, Italy, Japan, Jordan, Kazakhstan,  North Korea, South Korea, Kyrgyzstan, Laos, Latvia, Lebanon, Liechtenstein, Lithuania, Luxembourg, Macedonia, Malaysia, Moldova, Monaco, Mongolia, Montenegro, Morocco, Myanmar, Nepal, Netherlands, Pakistan, Palestine, Poland, Portugal, Romania, Russia, San Marino, Serbia, Slovakia, Slovenia, Spain, Sri Lanka, Switzerland, Syria, Taiwan, Tajikistan,  Thailand, Tunisia, Turkey, Turkmenistan, Ukraine, Uzbekistan, Viet Nam, Sweden, United Kingdom, Afghanistan', 'Regions': 'Antigua and Barbuda, Argentina, Australia, Brazil, Colombia, Cuba, Dominican Republic, Ecuador, Fiji,  Jamaica,', 'Biogeographical realms': 'New Zealand, Papua New Guinea, South Africa, Sudan, United States', 'Wwf biomes': 'Arizona, Florida, Georgia, Hawaii, Kentucky, Mississippi, New Mexico, North Carolina, Tennessee, Texas,'}, 'Biome': ['Agricultural', 'Anthropogenic biome', 'Forest', 'Marsh', 'Wetlands ', 'Riparian', 'Grassland', 'Swamp', 'Savanna', 'Shrubland'], 'Climate': ['Tropical', 'Arid', 'Temperate', 'Cold']}","{'Group name': 'herd, singular, sounder', 'Lifestyle': 'Terrestrial, Precocial, Cosmopolitan,', 'Seasonal behavior': 'Not a migrant,'}","Omnivore,","{'Mating behavior': 'Polygyny', 'Reproduction season': 'Year-round', 'Pregnancy duration': '108-120 days', 'Baby carrying': '4-6 piglets', 'Independent age': '7 months', 'Female name': 'sow', 'Male name': 'boar', 'Baby name': 'piglet, farrow'}",{'Population status': 'Least concern (LC)'}
Red Fox,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Canidae,Vulpes,Vulpes vulpes,Unknown,5-15 yrs,50 km/h,3-14 kg,35-50 cm,45-90 cm,"Crepuscular,Nocturnal,Omnivore,Scavenger,Terrestrial,Altricial,Territorial,Viviparous,Burrowing,Predator,Bright,Cute,Monogamy,Social,Dominance hierarchy,Not a migrant,starts with,Canada Province Animals,Fluffy Animals","{'Geography': {'Continents': 'Asia, Europe, Africa, North America, Oceania', 'Subcontinents': 'South Asia, North Africa, Western Asia, Southeast Asia, East Asia, Central Asia, Sub-Saharan Africa', 'Countries': 'Albania, Algeria, Andorra, Armenia, Austria, Azerbaijan, Bangladesh, Belgium, Bhutan, Bosnia and Herzegovina,', 'Introduced countries': 'Bulgaria, Canada, Croatia, Cyprus, Czech Republic, Denmark, Egypt, Estonia, Faroe Islands, Finland, France, Georgia, Germany, Greece, Vatican, Hungary, Iceland,  India, Iran, Iraq, Ireland, Israel, Italy, Japan, Jordan, Kazakhstan, North Korea, Kuwait, Kyrgyzstan, Latvia, Lebanon, Libya, Liechtenstein, Lithuania, Luxembourg, Macedonia, Malta, Monaco, Mongolia, Montenegro, Morocco, Myanmar, Nepal, Netherlands, Norway, Oman, Pakistan, Poland, Portugal, Qatar, Romania, Russia,  San Marino, Saudi Arabia, Serbia, Slovakia, Slovenia, Spain, Sudan, Sweden, Switzerland, Syria, Tajikistan, Tunisia, Turkey, Turkmenistan, United Arab Emirates, United Kingdom, United States, Uzbekistan, Yemen, South Korea, Afghanistan', 'Biogeographical realms': 'Australia, New Zealand', 'Wwf biomes': 'Australasian, Nearctic, Neotropical, Palearctic, Indomalayan, Afrotropical'}, 'Biome': ['Agricultural', 'Anthropogenic biome', 'Chaparral', 'Forest', 'Mountains', 'Grassland', 'Shrubland', 'Suburban', 'Wetlands ', 'Rocky areas ', 'Woodland', 'Urban wildlife'], 'Climate': ['Temperate', 'Cold', 'Tropical']}","{'Group name': 'leash, skulk, earth, lead, troop', 'Lifestyle': 'Terrestrial, Altricial, Territorial, Viviparous, Burrowing, Predator', 'Seasonal behavior': 'Not a migrant', 'Predators': 'Arctic Wolf'}","Omnivore,,Scavenger,House Mouse,,Deer Mouse","{'Mating behavior': 'Monogamy', 'Reproduction season': 'January-March', 'Pregnancy duration': '2 months', 'Baby carrying': '1-10 kits', 'Independent age': '7 months', 'Female name': 'vixen', 'Male name': 'reynard, tod', 'Baby name': 'kit, cub, pup'}","{'Population trend': 'Stable', 'Population status': 'Least concern (LC)'}"
Groundhog,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Sciuridae,Marmota,Marmota monax,Unknown,3-10 yrs,16 km/h,2-4 kg,,40-65 cm,"Diurnal,Herbivore,Folivore,Graminivore,Terrestrial,Altricial,Fossorial,Zoochory,Nomadic,Territorial,Viviparous,Burrowing,Torpor,Polygyny,Solitary,Dominance hierarchy,Hibernating,Not a migrant,starts with","{'Geography': {'Continents': 'North America', 'Countries': 'Canada, United States', 'Regions': 'Alberta, British Columbia, Labrador, Manitoba, New Brunswick, Newfoundland, Nova Scotia,  Ontario, Québec, Saskatchewan,', 'Biogeographical realms': 'Yukon, Alabama, Alaska, Arkansas, Connecticut, Delaware, District of Columbia, Georgia, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Nebraska, New Hampshire, New Jersey, New York, North Carolina, North Dakota, Ohio, Oklahoma, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Vermont, Virginia, Washington, West Virginia, Wisconsin, Newfoundland I', 'Wwf biomes': 'Nearctic'}, 'Biome': ['Anthropogenic biome', 'Forest', 'Riparian', 'Grassland', 'Woodland', 'Agricultural'], 'Climate': ['Temperate', 'Cold']}","{'Lifestyle': 'Terrestrial, Altricial, Fossorial, Zoochory, Nomadic, Territorial, Viviparous, Burrowing, Torpor', 'Seasonal behavior': 'Hibernating, Not a migrant'}","Herbivore,,Folivore,,Graminivore","{'Mating behavior': 'Polygyny', 'Reproduction season': 'year-round, early March to mid- or late April', 'Pregnancy duration': '31-32 days', 'Baby carrying': '1-9 pups', 'Independent age': '2 months', 'Baby name': 'pup, kit, cub'}","{'Population trend': 'Stable', 'Population status': 'Least concern (LC)'}"
Snow Leopard,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Feliformia,Felidae,Panthera,Uncia uncia,"2,710-3,386",15-21 yrs,88 km/h,27-55 kg,60 cm,75-150 cm,"Crepuscular,Carnivore,Cursorial,Terrestrial,Pursuit predator,Altricial,Viviparous,Polygyny,Solitary,Altitudinal Migrant,starts with,Leopard In The Name,Fluffy Animals","{'Geography': {'Continents': 'Asia', 'Subcontinents': 'South Asia, Central Asia', 'Countries': 'Bhutan, China, India,  Kazakhstan, Kyrgyzstan, Mongolia, Nepal, Pakistan, Russia, Tajikistan,', 'Regions': 'Uzbekistan, Afghanistan', 'Biogeographical realms': 'Tibet, Yunnan', 'Wwf biomes': 'Palearctic, Indomalayan'}, 'Biome': ['Rocky areas ', 'Forest', 'Mountains', 'Montane forest', 'Shrubland', 'Grassland'], 'Climate': ['Cold', 'Temperate']}","{'Group name': 'leap, lepe', 'Lifestyle': 'Cursorial, Terrestrial, Pursuit predator, Altricial, Viviparous', 'Seasonal behavior': 'Altitudinal Migrant'}",Carnivore,"{'Mating behavior': 'Polygyny', 'Reproduction season': 'January-March', 'Pregnancy duration': '90-105 days', 'Baby carrying': '2-3 cubs', 'Independent age': '1 year', 'Female name': 'leopardess', 'Male name': 'leopard', 'Baby name': 'cub'}","{'Population trend': 'Decreasing', 'Population status': 'Endangered (EN)'}"
Raccoon Dog,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Canidae,Nyctereutes,Nyctereutes procyonoides,Unknown,6-11 yrs,40 km/h,3-10 kg,,50-65 cm,"Nocturnal,Diurnal,Omnivore,Terrestrial,Altricial,Burrowing,Zoochory,Natatorial,Viviparous,Predator,Monogamy,Social,Hibernating,starts with,Cute Animals,Fluffy Animals","{'Geography': {'Continents': 'Europe, Asia', 'Subcontinents': 'East Asia, Southeast Asia, Central Asia', 'Countries': 'China, Japan, South Korea, North Korea, Russia, Viet Nam', 'Introduced countries': 'Uzbekistan, Austria, Belarus, Czech Republic, Estonia, Finland, France, Germany, Hungary, Kazakhstan,', 'Biogeographical realms': 'Latvia, Lithuania, Moldova,  Netherlands, Norway, Poland, Romania, Slovakia, Sweden, Switzerland, Ukraine, Belgium, Bosnia and Herzegovina, Bulgaria, Denmark, Macedonia, Serbia, Slovenia', 'Wwf biomes': 'Palearctic, Indomalayan'}, 'Biome': ['Forest', 'Riparian', 'Anthropogenic biome', 'Suburban', 'Grassland', 'Shrubland', 'Agricultural', 'Urban wildlife'], 'Climate': ['Temperate', 'Cold']}","{'Group name': 'pack', 'Lifestyle': 'Terrestrial, Altricial, Burrowing, Zoochory, Natatorial, Viviparous, Predator', 'Seasonal behavior': 'Hibernating'}",Omnivore,"{'Mating behavior': 'Monogamy', 'Reproduction season': 'early February- late April', 'Pregnancy duration': '61-70 days', 'Baby carrying': '6-8 pups', 'Independent age': '4.5 months', 'Baby name': 'pup'}","{'Population trend': 'Stable', 'Population status': 'Least concern (LC)'}"
American Black Bear,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Ursidae,Ursus,Ursus americanus,850-950 Thou,10-30 yrs,48 km/h,100-270 kg,1.3-1.8 m,1200.0-2000.,"Nocturnal,Crepuscular,Omnivore,Scavenger,Terrestrial,Altricial,Nomadic,Territorial,Viviparous,Arboreal,Polygyny,Solitary,Dominance hierarchy,Hibernating,Not a migrant,starts with,U.S. States Animals","{'Geography': {'Continents': 'North America', 'Countries': 'Canada, Mexico, United States', 'Biogeographical realms': 'Nearctic', 'Wwf biomes': 'Desert and Xeric Shrublands, Taiga, Temperate broadleaf and mixed forest, Temperate coniferous forest, Tundra'}, 'Biome': ['Forest', 'Riparian', 'Shrubland', 'Anthropogenic biome', 'Grassland', 'Wetlands ', 'Agricultural', 'Woodland', 'Mountains', 'Chaparral', 'Swamp', 'Montane forest'], 'Climate': ['Temperate', 'Cold']}","{'Group name': 'sloth, sleuth', 'Lifestyle': 'Terrestrial, Altricial, Nomadic, Territorial, Viviparous, Arboreal  Hibernating, Not a migrant'}","Omnivore,,Scavenger","{'Mating behavior': 'Polygyny', 'Reproduction season': 'June-mid-July', 'Pregnancy duration': '7 months', 'Baby carrying': '3-4 cubs', 'Independent age': '6-8 months', 'Female name': 'sow', 'Male name': 'boar', 'Baby name': 'cub'}","{'Population trend': 'Increasing', 'Population status': 'Least concern (LC)'}"
Meerkat,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Feliformia,Herpestidae,Suricata,Suricata suricatta,500,5-15 yrs,32 km/h,0.7-0.9 kg,,25-35 cm,"Diurnal,Insectivores,Carnivore,Terrestrial,Altricial,Burrowing,Predator,Viviparous,Monogamy,Polygyny,Social,Colonial,Dominance hierarchy,Not a migrant,starts with,Cute Animals,Tiny Animals","{'Geography': {'Continents': 'Africa', 'Subcontinents': 'Sub-Saharan Africa', 'Countries': 'Angola, Botswana, Namibia, South Africa', 'Biogeographical realms': 'Afrotropical', 'Wwf biomes': 'Mediterranean forests, woodlands, and scrub, Tropical savanna'}, 'Biome': ['Shrubland', 'Grassland', 'Savanna', 'Rocky areas '], 'Climate': ['Arid', 'Tropical']}","{'Group name': 'troop, committee, delegation, mongeese, mongaggle', 'Lifestyle': 'Terrestrial, Altricial, Burrowing, Predator, Viviparous', 'Seasonal behavior': 'Not a migrant'}","Insectivores,,Carnivore","{'Mating behavior': 'Monogamy,', 'Reproduction season': 'October-April, year-round in captivity', 'Pregnancy duration': '11 weeks', 'Baby carrying': '2-5 pups', 'Independent age': '12 weeks', 'Baby name': 'pup, mongopoe'}","{'Population trend': 'Stable', 'Population status': 'Least concern (LC)'}"
African Wild Dog,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Canidae,Lycaon,Lycaon pictus,"6,6",10-11 yrs,66 km/h,18-36 kg,60-75 cm,71-112 cm,"Diurnal,Carnivore,Scavenger,Terrestrial,Cursorial,Pursuit predator,Pack hunters,Altricial,Nomadic,Viviparous,Territorial,Apex predator,Pack hunters,Monogamy,Dominance hierarchy,Highly social,Not a migrant,starts with,Vicious Animals","{'Geography': {'Continents': 'Africa', 'Subcontinents': 'Sub-Saharan Africa', 'Countries': 'Angola, Benin, Botswana, Burkina Faso, Central African Republic, Chad, Ethiopia, Kenya, Malawi, Mozambique,', 'Biogeographical realms': 'Namibia, Niger, Senegal, South Africa, South Sudan, Sudan, Tanzania, Zambia, Zimbabwe', 'Wwf biomes': 'Afrotropical'}, 'Biome': ['Shrubland', 'Forest', 'Grassland', 'Savanna', 'Woodland', 'Mountains', 'Montane forest'], 'Climate': ['Tropical']}","{'Group name': 'pack', 'Lifestyle': 'Terrestrial, Cursorial, Pursuit predator, Pack hunters, Altricial, Nomadic, Viviparous, Territorial, Apex predator, Pack hunters', 'Seasonal behavior': 'Not a migrant'}","Carnivore,,Scavenger","{'Mating behavior': 'Monogamy', 'Reproduction season': 'April-July (Southern Africa)', 'Pregnancy duration': '69-73 days', 'Baby carrying': '6-16 pups', 'Independent age': '5 weeks', 'Baby name': 'pup'}","{'Population trend': 'Decreasing', 'Population status': 'Endangered (EN)'}"
Fisher,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Mustelidae,Pekania,Pekania pennanti,Unknown,10 yrs,,2-6 kg,,75-120 cm,"Crepuscular,Omnivore,Terrestrial,Arboreal,Altricial,Scansorial,Territorial,Viviparous,Predator,Solitary,Not a migrant,starts with,Canada Province Animals,Fluffy Animals","{'Geography': {'Continents': 'North America', 'Countries': 'Canada, United States', 'Biogeographical realms': 'Nearctic', 'Wwf biomes': 'Taiga, Temperate broadleaf and mixed forest, Temperate coniferous forest'}, 'Biome': ['Forest'], 'Climate': ['Temperate', 'Cold']}","{'Lifestyle': 'Terrestrial, Arboreal, Altricial, Scansorial, Territorial, Viviparous, Predator', 'Seasonal behavior': 'Not a migrant'}",Omnivore,"{'Reproduction season': 'late March-early April', 'Pregnancy duration': '50 days', 'Baby carrying': '1-4 kits', 'Independent age': '5 months', 'Baby name': 'kit, pup'}",{'Population status': 'Least concern (LC)'}
Walrus,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Odobenidae,Odobenus,Odobenus rosmarus,"over 225,000",30-40 yrs,35 km/h,"850-1,700 kg",,270-320 cm,"Diurnal,Carnivore,Molluscivore,Scavenger,Semiaquatic,Precocial,Natatorial,Terrestrial,Congregatory,Viviparous,Predator,Polygyny,Colonial,Dominance hierarchy,Highly social,Not a migrant,starts with,Canada Province Animals","{'Geography': {'Continents': 'North America, Asia, Europe', 'Countries': 'Canada, Russia, United States', 'Regions': 'Alaska, Greenland', 'Oceans': 'Arctic Ocean, Atlantic Ocean, Pacific Ocean', 'Biogeographical realms': 'Nearctic, Palearctic', 'Wwf biomes': 'Rock and ice'}, 'Biome': ['Intertidal zone', 'Oceanic pelagic zone', 'Coastal', 'Marine', 'Neritic zone'], 'Climate': ['Cold', 'Polar']}","{'Group name': 'herd, pod', 'Lifestyle': 'Semiaquatic, Precocial, Natatorial, Terrestrial, Congregatory, Viviparous, Predator', 'Seasonal behavior': 'Not a migrant'}","Carnivore,,Molluscivore,,Scavenger","{'Mating behavior': 'Polygyny', 'Reproduction season': 'January-March', 'Pregnancy duration': '15 months', 'Baby carrying': '1 calf', 'Independent age': '2-3 years', 'Female name': 'cow', 'Male name': 'bull', 'Baby name': 'pup, cub'}",{'Population status': 'Vulnerable (VU)'}
Domesticated Ferret,European Polecat,,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Mustelidae,Mustelinae,,Mustela,Mustela putorius furo,7-10 yrs,,25 km/h,"Crepuscular,Carnivore,Terrestrial,Altricial,Burrowing,Polygyny,Social,Not a migrant,Domesticated,starts with","{'Geography': {'Biogeographical realms': 'Australasian, Afrotropical, Nearctic, Neotropical, Indomalayan, Palearctic'}, 'Biome': [], 'Climate': []}","{'Group name': 'business, cast, fesnying, fesynes, feamyng', 'Lifestyle': 'Terrestrial, Altricial, Burrowing,', 'Seasonal behavior': 'Not a migrant'}",Carnivore,"{'Mating behavior': 'Polygyny', 'Reproduction season': 'March-August', 'Pregnancy duration': '42 days', 'Baby carrying': '3-7 kits', 'Independent age': '3 months', 'Female name': 'jill', 'Male name': 'hob', 'Baby name': 'kit'}",{}
Beluga Whale,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,,Monodontidae,Delphinapterus,Delphinapterus leucas,136,40 yrs,22 km/h,"700-1,600 kg",,3-5.5 m,"Diurnal,Carnivore,Molluscivore,Piscivores,Aquatic,Precocial,Nomadic,Congregatory,Viviparous,Predator,Polygyny,Social,Migrating,starts with,Canada Province Animals,Snow White","{'Geography': {'Continents': 'North America, Asia, Europe', 'Subcontinents': 'East Asia', 'Countries': 'Canada, Russia, United States, Belgium, Denmark, Faroe Islands, France, Germany, Iceland, Ireland,', 'Regions': 'Japan, Netherlands, Norway, Sweden, United Kingdom', 'Oceans': 'Greenland', 'Biogeographical realms': 'Arctic Ocean, Pacific Ocean'}, 'Biome': ['Oceanic pelagic zone', 'Coastal', 'Estuaries', 'Icecap', 'Marine', 'Neritic zone'], 'Climate': ['Cold', 'Polar']}","{'Group name': 'pod, gam, herd, school, mod', 'Lifestyle': 'Aquatic, Precocial, Nomadic, Congregatory, Viviparous, Predator', 'Seasonal behavior': 'Migrating'}","Carnivore,,Molluscivore,,Piscivores","{'Mating behavior': 'Polygyny', 'Reproduction season': 'February-April', 'Pregnancy duration': '14 months', 'Baby carrying': '1 calf', 'Independent age': '1.5-2 years', 'Female name': 'cow', 'Male name': 'bull', 'Baby name': 'calf'}",{'Population status': 'Near Threatened (NT)'}
